,USAF,YR--MODAHRMN,TEMP,MAX,MIN
10422,29980,201707090600,64.0,65.0,54.0
10434,29980,201707091800,64.0,71.0,62.0
10446,29980,201707100600,68.0,68.0,54.0
10458,29980,201707101800,66.0,72.0,66.0
10470,29980,201707110600,64.0,66.0,59.0
10482,29980,201707111800,61.0,66.0,61.0
10494,29980,201707120600,60.0,64.0,59.0
10506,29980,201707121800,63.0,70.0,60.0
10518,29980,201707130600,59.0,63.0,56.0
10530,29980,201707131800,55.0,67.0,55.0
10542,29980,201707140600,57.0,57.0,50.0
10554,29980,201707141800,62.0,69.0,57.0
10566,29980,201707150600,62.0,62.0,47.0
10578,29980,201707151800,68.0,72.0,62.0
10590,29980,201707160600,65.0,68.0,52.0
10602,29980,201707161800,66.0,73.0,65.0
10614,29980,201707170600,61.0,66.0,56.0
10624,29980,201707171800,61.0,66.0,58.0
10634,29980,201707180600,60.0,62.0,52.0
10644,29980,201707181800,62.0,68.0,55.0
10654,29980,201707190600,58.0,62.0,50.0
10664,29980,201707191800,58.0,62.0,55.0
10675,29980,201707200600,57.0,58.0,54.0
10687,29980,201707201800,61.0,67.0,56.0
10699,29980,201707210600,61.0,61.0,49.0
10711,29980,201707211800,64.0,70.0,60.0
10723,29980,201707220600,63.0,64.0,50.0
10735,29980,201707221800,61.0,70.0,58.0
10747,29980,201707230600,64.0,64.0,51.0
10759,29980,201707231800,66.0,71.0,64.0
10771,29980,201707240600,63.0,66.0,52.0
10783,29980,201707241800,61.0,65.0,61.0
10807,29980,201707251800,62.0,69.0,62.0
10819,29980,201707260600,62.0,62.0,54.0
10831,29980,201707261800,65.0,73.0,62.0
10843,29980,201707270600,66.0,66.0,57.0
10855,29980,201707271800,67.0,74.0,66.0
10867,29980,201707280600,67.0,67.0,63.0
10879,29980,201707281800,63.0,76.0,62.0
10891,29980,201707290600,64.0,64.0,60.0
10903,29980,201707291800,64.0,71.0,64.0
10915,29980,201707300600,65.0,65.0,56.0
10927,29980,201707301800,65.0,73.0,64.0
10939,29980,201707310600,63.0,65.0,59.0
10951,29980,201707311800,65.0,72.0,63.0
10963,29980,201708010600,69.0,69.0,60.0
10975,29980,201708011800,65.0,74.0,65.0
10987,29980,201708020600,61.0,65.0,60.0
10999,29980,201708021800,66.0,71.0,61.0
